Assigned Cluster ,User Reputation Score,Number of Post by the user
0,23,1
0,833,1
0,17,1
0,1,1
0,376,6
0,48,1
0,405,1
0,366,2
0,21,1
0,21,1
0,442,1
0,91,1
0,191,2
0,100,2
0,62,1
0,401,2
0,6,1
0,175,1
0,571,1
0,2280,9
0,1,1
0,82,3
0,2285,1
0,422,1
0,104,2
0,1560,2
0,2887,5
0,56,1
0,16,1
0,83,1
0,326,1
0,34,1
0,64,2
0,13,1
0,1329,1
0,96,1
0,33,1
0,380,1
0,6,1
0,1,2
0,152,1
0,444,1
0,1867,2
0,372,2
0,70,2
0,859,1
0,1401,1
0,1185,3
0,4269,4
0,2269,3
0,141,1
0,1417,3
0,69,1
0,36,2
0,1,1
0,2122,3
0,12,1
0,19,1
0,1,1
0,9,1
0,350,1
0,3579,5
0,2089,1
0,1,1
0,11,1
0,660,1
0,21,1
0,1,1
0,21,1
0,6,1
0,521,1
0,40,1
0,11,1
0,276,2
0,181,1
0,98,1
0,172,1
0,577,2
0,194,1
0,11,1
0,493,1
0,8,1
0,50,1
0,105,1
0,420,2
0,51,1
0,125,1
0,3897,4
0,154,1
0,69,1
0,67,1
0,66,1
0,357,2
0,1608,2
0,77,1
0,15,1
0,21,1
0,177,2
0,312,1
0,64,1
0,1,1
0,1,1
0,123,1
0,11,1
0,1661,6
0,470,1
0,86,2
0,512,2
0,308,3
0,50,1
0,6,1
0,345,1
0,18,1
0,26,1
0,1,1
0,660,3
0,1756,3
0,1701,1
0,179,1
0,558,1
0,73,1
0,1,2
0,618,2
0,28,2
0,1494,1
0,112,1
0,668,1
0,8,1
0,20,2
0,131,1
0,804,1
0,70,1
0,61,1
0,754,2
0,894,4
0,932,1
0,1237,1
0,294,1
0,25,1
0,481,1
0,4143,5
0,51,3
0,8,2
0,16,1
0,348,3
0,133,1
0,121,1
0,118,1
0,1770,2
0,197,2
0,15,1
0,10,1
0,473,2
0,3587,1
0,897,1
0,943,2
0,3,1
0,228,1
0,771,3
0,40,1
0,517,2
0,471,1
0,406,1
0,86,1
0,2538,1
0,10,1
0,6,1
0,28,1
0,6,1
0,107,2
0,4211,5
0,2824,4
0,303,4
0,1,1
0,421,1
0,733,2
0,486,1
0,2670,4
0,307,1
0,2306,2
0,3,1
0,41,1
0,440,2
0,58,1
0,38,1
0,410,3
0,2707,1
0,50,1
0,4252,1
0,4471,2
0,896,2
0,3,1
0,309,2
0,887,3
0,32,1
0,1,1
0,1,1
0,54,1
0,23,1
0,5051,5
0,765,6
0,341,1
0,1622,3
0,77,1
0,451,1
0,1277,3
0,157,1
0,11,1
0,5048,4
0,1,1
0,1,1
0,98,1
0,2669,6
0,1125,2
0,1,1
0,121,1
0,21,1
0,21,1
0,1,1
0,126,1
0,23,2
0,1188,2
0,13,1
0,30,1
0,32,1
0,56,1
0,1464,1
0,5031,10
0,6,1
0,22,1
0,168,1
0,134,1
0,10,1
0,317,1
0,22,1
0,1,1
0,51,1
0,2208,2
0,6,1
0,164,1
0,1,1
0,16,1
0,1,1
0,31,1
0,1946,1
0,1467,1
0,191,1
0,1,1
0,33,1
0,653,2
0,502,2
0,185,1
0,1374,2
0,1,1
0,37,1
0,1,1
0,11,1
0,116,1
0,4305,4
0,1,1
0,8,1
0,87,1
0,937,2
0,11,1
0,3598,3
0,13,1
0,2492,1
0,1,1
0,2,1
0,374,1
0,2652,8
0,93,1
0,36,1
0,2257,7
0,719,2
0,22,1
0,2065,4
0,72,1
0,423,1
0,359,1
0,636,1
0,61,1
0,804,3
0,173,1
0,6,1
0,1,1
0,404,2
0,1003,1
0,293,1
0,2709,1
0,1610,1
0,1,1
0,194,4
0,1,1
0,34,1
0,178,3
0,6,1
0,2109,2
0,205,1
0,31,1
0,27,1
0,56,1
0,1255,4
0,1,1
0,156,2
0,51,2
0,88,1
0,1223,4
0,375,2
0,11,1
0,3,1
0,510,2
0,183,1
0,3,1
0,53,1
0,32,1
0,292,1
0,1225,2
0,613,1
0,358,1
0,43,1
0,55,1
0,23,1
0,535,2
0,3789,2
0,602,3
0,1877,2
0,413,1
0,11,1
0,1,1
0,1323,1
0,494,1
0,129,1
0,13,1
0,87,1
0,11,1
0,6,1
0,80,1
0,6,1
0,48,1
0,555,1
0,1827,6
0,208,1
0,21,1
0,2148,1
0,1,1
0,1572,1
0,6,1
0,25,1
0,1497,5
0,1,1
0,49,1
0,21,1
0,506,1
0,45,1
0,375,1
0,10,1
0,8,1
0,1796,4
0,2149,9
0,428,2
0,123,2
0,1872,2
0,840,1
0,41,1
0,237,2
0,99,2
0,151,2
0,143,1
0,82,1
0,141,2
0,1376,1
0,1142,2
0,11,1
0,37,2
0,227,1
0,6,1
0,11,1
0,484,1
0,459,3
0,129,1
0,1,1
0,330,3
0,39,1
0,1711,2
0,188,2
0,300,1
0,71,1
0,81,1
0,55,1
0,655,2
0,63,1
0,36,2
0,94,1
0,203,2
0,655,1
0,109,2
0,759,1
0,158,2
0,18,1
0,388,1
0,166,1
0,8,1
0,1,1
0,6,1
0,41,1
0,1813,1
0,311,1
0,313,1
0,393,1
0,1307,3
0,1,1
0,35,1
0,16,1
0,3,1
0,6,1
0,191,1
0,883,1
0,619,1
0,106,1
0,2116,2
0,51,1
0,89,1
0,15,1
0,1436,3
0,1787,1
0,16,1
0,78,1
0,319,1
0,1,1
0,1594,5
0,13,1
0,141,1
0,489,2
0,143,1
0,54,1
0,44,1
0,136,1
0,358,1
0,2227,3
0,189,1
0,584,2
0,1,1
0,98,1
0,4007,7
0,92,1
0,1963,1
0,144,2
0,730,2
0,37,1
0,1289,4
0,395,1
0,2733,5
0,55,1
0,197,1
0,21,1
0,1526,5
0,16,1
0,23,1
0,676,1
0,549,1
0,1,1
0,133,1
0,1094,2
0,2268,3
0,11,1
0,1406,2
0,462,3
0,11,1
0,34,1
0,2195,1
0,336,4
0,1699,2
0,731,3
0,11,1
0,4331,5
0,1779,2
0,25,1
0,834,3
0,30,1
0,1127,3
0,1,1
0,827,5
0,89,1
0,1254,8
0,198,2
0,21,1
0,32,1
0,16,1
0,1,1
0,712,2
0,207,1
0,156,1
0,10,1
0,3261,9
0,1002,2
0,8,1
0,559,1
0,1338,2
0,6,1
0,2134,1
0,83,1
0,1866,2
0,158,1
0,3,1
