Assigned Cluster,Answer Post Word Count 
2,197
2,227
1,513
0,1388
0,2274
1,695
1,585
1,656
2,166
1,727
0,1204
1,566
1,649
1,966
0,2746
1,767
2,82
0,1095
2,367
1,942
0,1086
2,355
2,239
0,1020
2,231
0,1284
0,1246
0,1339
0,1217
0,1235
2,297
1,812
1,472
2,30
2,233
2,88
1,573
2,312
1,607
2,334
0,1622
2,438
2,449
0,996
2,300
2,47
0,1783
2,328
2,100
2,86
2,91
2,223
1,537
1,574
1,750
2,344
2,307
1,922
1,557
1,468
1,470
1,955
2,280
0,1543
2,308
1,643
2,444
2,262
1,586
2,66
2,418
2,90
0,1521
1,647
2,288
2,254
2,85
2,374
1,629
2,185
2,319
2,218
2,207
1,494
2,75
2,46
2,254
2,171
1,659
1,558
2,453
2,83
1,976
2,75
2,297
2,290
2,431
2,67
0,1426
1,456
1,660
1,720
0,1149
0,1187
0,982
2,121
1,671
0,1406
2,234
2,230
0,1548
2,283
2,82
2,298
2,366
2,315
2,82
0,1161
1,820
2,164
0,1273
0,1462
1,713
0,3554
2,218
2,235
1,766
2,88
1,923
2,369
2,330
1,648
1,976
2,412
2,416
2,171
1,751
1,510
2,336
2,393
2,136
1,870
2,31
2,175
1,567
2,314
2,131
2,171
2,259
2,136
1,735
2,194
1,762
2,309
2,149
2,144
2,336
2,406
1,462
2,392
0,3400
1,475
2,31
1,958
2,208
0,1444
2,145
2,211
2,150
2,118
1,529
2,49
1,648
2,177
2,137
2,47
1,891
2,339
1,682
2,138
1,791
2,299
1,594
1,576
0,1118
2,191
1,534
2,307
2,245
0,1231
0,1450
1,788
2,367
2,276
2,401
1,570
0,1578
2,229
0,1013
0,1481
2,217
2,266
0,5211
1,485
1,802
0,1358
2,196
1,644
1,701
2,352
2,228
0,1295
0,1518
2,386
1,510
2,157
1,618
1,601
2,229
1,489
1,598
2,376
2,206
2,237
1,936
2,210
1,785
1,766
1,466
2,95
0,2808
2,154
1,660
2,227
2,263
0,1901
2,446
2,391
2,90
2,253
2,350
0,2445
2,375
0,3461
1,914
0,1931
0,1849
1,828
2,106
2,195
0,1096
2,118
1,807
1,580
0,1557
2,261
2,255
0,1110
2,178
2,146
2,259
0,1973
2,137
2,236
2,341
0,2264
1,697
2,72
1,716
2,133
2,188
1,657
1,517
1,688
2,75
1,649
1,915
2,155
1,617
1,670
1,834
2,166
2,404
1,526
2,129
2,172
1,842
1,767
1,620
1,802
2,116
2,115
2,287
2,100
2,433
2,107
2,100
2,416
2,235
2,271
1,634
2,222
2,296
2,394
2,412
2,57
2,160
2,256
1,718
1,655
2,232
0,987
1,486
0,986
0,1496
1,601
2,99
1,684
1,701
0,1343
0,1652
1,569
0,1840
0,1163
0,1278
2,93
2,300
2,113
2,235
2,298
2,363
0,1820
2,226
1,688
2,283
2,165
1,818
2,288
2,440
2,294
1,953
0,1426
2,196
2,171
2,229
2,263
1,898
2,348
2,256
1,636
0,2139
2,389
0,1714
0,1011
2,389
0,1035
0,1007
2,370
1,906
2,324
2,306
1,557
1,503
1,468
1,764
2,215
2,281
0,1493
2,430
1,947
2,231
1,747
1,565
1,472
2,452
1,754
2,201
0,1118
2,45
0,1156
2,173
1,938
0,1786
2,260
1,871
2,243
2,406
2,314
1,657
2,50
0,1371
0,1048
0,1300
2,415
1,653
2,92
2,390
0,1157
2,86
1,779
1,651
1,458
0,1331
0,2726
2,325
2,312
0,1079
0,1084
1,465
2,109
1,718
1,574
2,68
0,1971
2,413
0,1837
0,1135
2,364
2,177
1,605
0,1131
2,195
2,250
2,387
2,189
2,333
1,639
0,2514
0,2052
2,101
2,154
2,280
2,134
1,479
1,795
2,306
0,2631
1,543
0,1441
0,1457
2,66
0,1283
2,295
0,991
2,233
2,450
2,284
1,607
1,927
1,651
1,843
1,541
1,624
2,223
2,207
2,145
2,387
2,219
2,209
0,1170
2,385
1,637
1,655
2,404
1,707
2,95
2,133
2,262
2,227
1,788
2,208
1,503
2,132
0,1106
1,541
0,2939
2,252
1,618
1,594
1,503
1,673
1,760
2,317
1,537
2,371
2,61
2,411
2,76
1,893
0,1762
2,249
1,702
2,176
2,311
1,881
2,140
2,115
2,384
2,195
2,30
1,944
2,224
2,294
2,193
0,1300
1,466
2,96
2,315
2,171
2,322
1,517
1,969
2,192
1,831
0,1176
1,820
2,237
2,274
2,136
2,419
2,361
0,1202
1,715
1,740
2,348
2,446
2,115
0,1188
0,1039
1,532
0,1413
1,769
1,884
2,149
2,397
0,1139
2,356
0,1654
0,3818
1,516
1,623
0,1007
2,299
2,247
0,1534
1,664
1,478
2,431
2,151
0,1031
2,345
0,3714
2,218
0,1058
1,494
2,219
1,675
1,905
2,290
2,340
1,738
0,1329
1,891
2,430
2,421
2,107
2,289
2,132
2,289
0,1216
1,549
2,91
1,730
2,184
0,2822
0,1969
1,936
2,189
2,140
1,558
1,476
2,170
2,297
2,92
0,1038
2,249
1,540
2,133
2,238
2,226
0,1341
0,1114
1,508
2,355
2,139
0,2402
2,71
2,175
0,1132
2,213
1,456
2,376
1,911
1,722
2,281
0,1094
2,333
2,111
1,743
2,240
1,829
2,50
1,498
2,250
2,321
